model,feature,false_positive_mean,true_negative_mean,standardised_gap_fp_vs_tn,false_negative_mean,true_positive_mean,standardised_gap_fn_vs_tp
delinquency,is_delinquent,0.9149115417017691,0.006461489168550526,3.754955011503586,0.005644811115935736,0.9899263851220457,-4.0683943148429
delinquency,status_changed_this_month,0.7346251053074979,0.03346446180957297,2.6312059538174624,0.03343465045592705,0.7981402557148393,-2.8696675435702637
delinquency,days_past_due,46.1609098567818,0.6721550757400452,2.5735841715279433,0.5896656534954408,68.37117396358,-3.834825062782878
delinquency,status_ordinal,2.097725358045493,1.0193844675056516,2.254497999133526,1.0169344333478072,2.802402169701666,-3.732895111778678
delinquency,dpd_delta_3m,42.257548845470694,-1.6931811587194119,2.0697863135012273,-1.9605168700646087,57.47383252818035,-2.798961539992837
delinquency,dpd_delta_6m,43.5,-1.518940186681177,2.0591186417740532,-2.361016505108724,66.11679153812253,-3.1321024107839524
delinquency,dpd_max_3m,49.428812131423754,4.275191797646808,1.8488084339270454,4.021493703864524,70.62301433552886,-2.7269896000803677
delinquency,dpd_delta_1m,29.312340425531914,-1.1633534210332916,1.7469609967269288,-1.211191335740072,27.705263157894738,-1.6575805761253437
delinquency,dpd_mean_3m,23.710053355798934,1.5845897340049957,1.7105528989555467,1.496236792589376,44.15039390417151,-3.2976570953231117
delinquency,dpd_max_6m,50.54422914911542,8.485537300414746,1.4496836222191012,8.841293964394268,71.6427741185587,-2.164648333764634
delinquency,dpd_mean_6m,14.04334456613311,1.874275084996173,1.3285490517258165,2.0035714285714286,26.297933617460934,-2.6523188069854924
delinquency,dpd_mean_12m,9.162594655181008,1.8993872978217665,1.1501049640755197,2.194271987601341,16.66077746245317,-2.290723497325845
default,credit_score,643.7576099210823,714.7263808282996,-1.4828304408347628,665.5837957824639,648.0309322033899,0.3667517431420507
default,is_delinquent,0.32619316046599023,0.0195428165344072,1.2441663009691386,0.038845726970033294,0.7754237288135594,-2.988503179808478
default,days_past_due,18.91131153701616,1.236843144222038,0.9752431773309577,1.8416574176840548,59.17033898305085,-3.16328640383873
default,status_ordinal,1.463359639233371,1.0323147380472975,0.8780786790246145,1.0462449130595635,2.596186440677966,-3.1573754970576857
default,status_changed_this_month,0.2807215332581736,0.04386276599944727,0.8776849893786478,0.05586385497595264,0.6343220338983051,-2.1434885712669436
default,ltv,81.10372416384818,73.1835159303565,0.8246037263669196,79.99217536071032,81.69589406779662,-0.1773807901418058
default,dpd_delta_3m,15.365339578454332,-1.0918616986728442,0.7628109724647946,-1.0959965561773568,47.49020461471485,-2.2520285642400615
default,dpd_delta_6m,15.27235269880511,-0.9254908462212538,0.7261649513085657,-1.3026513256628314,55.128169014084506,-2.5298481115961633
default,dpd_mean_3m,11.199361142427659,1.8278521326016295,0.7044466076966546,2.045813293871008,40.550494350282484,-2.8943569197010497
default,dpd_max_3m,21.965802329951146,4.83899877610644,0.6898214471819364,5.1668516463189045,62.10296610169492,-2.29323310371637
default,dti,39.84790304396843,34.869964862410676,0.6647428977515389,38.55606733259341,38.898720338983054,-0.04575712756630735
default,dpd_delta_1m,9.585708855948308,-0.7149363779334572,0.5841178680306648,-0.15474794841735054,20.09405728943993,-1.1482473842318834
prepayment,credit_score,716.6849319895693,693.2182353890862,0.49031611538718795,705.7254025044723,720.8596256684492,-0.3162163655796009
prepayment,dpd_mean_12m,1.5489759103473955,4.0762037422404305,-0.39114841715034093,3.211923864249445,1.477935714575086,0.26837577188065753
prepayment,dpd_max_12m,12.36429628585524,25.038787536325476,-0.36940643094454145,21.012075134168157,12.778743315508022,0.23996590173199497
prepayment,dpd_mean_6m,1.6435995019616134,5.065417473899473,-0.36405640965593744,3.4933363148479426,1.5775345365418896,0.2038272996232974
prepayment,dpd_mean_3m,1.8070336175910917,6.447516413733721,-0.34882027647733604,3.3302772808586756,1.7231506238859178,0.12080604313097074
prepayment,dpd_max_6m,7.311015575445768,17.480747497578303,-0.34797199371322457,14.31350626118068,7.681818181818182,0.2269127387358008
prepayment,dpd_max_3m,4.3424483755021495,12.485268001291573,-0.32797080907386145,8.049194991055456,4.529077540106952,0.14178083532222102
prepayment,days_past_due,2.036084290647685,7.527567000322893,-0.3030094556182022,3.3586762075134167,1.9405080213903743,0.07825179332625301
prepayment,status_ordinal,1.051976883501304,1.1997901194704552,-0.30110935223919405,1.084525939177102,1.0494652406417113,0.07142191398372766
prepayment,is_delinquent,0.035379519345972235,0.10381013884404262,-0.27764218243608524,0.05232558139534884,0.03342245989304813,0.07669525641078336
prepayment,dpd_lag_1m,1.8244041110868139,6.545773032489469,-0.2752954942705105,3.373284537968893,1.7348563516787816,0.09553413530698437
prepayment,interest_rate,4.770944464021425,5.1696817081046165,-0.2590995110917483,4.884946332737031,4.7352957887700535,0.09724294219269938
