bin,n,mean_predicted,observed_rate,gap
"(-0.001, 0.1]",50675,0.030965570121730897,0.03171188949185989,-0.0007463193701289957
"(0.1, 0.2]",8339,0.15279958917087896,0.1602110564815925,-0.007411467310713543
"(0.2, 0.3]",589,0.27104582143319006,0.23259762308998302,0.038448198343207035
"(0.3, 0.4]",17,0.3943103482275269,0.35294117647058826,0.04136917175693866
"(0.4, 0.5]",865,0.41493387403791543,0.446242774566474,-0.03130890052855856
"(0.5, 0.6]",1,0.5562183375015985,1.0,-0.44378166249840145
"(0.6, 0.7]",955,0.6632291438131718,0.6680628272251309,-0.004833683411959111
"(0.7, 0.8]",464,0.7931034482758621,0.8362068965517241,-0.04310344827586199
"(0.8, 0.9]",508,0.8610079654584196,0.905511811023622,-0.04450384556520237
"(0.9, 1.0]",133,0.9455535390199638,0.9323308270676691,0.01322271195229463
