decile,n,events,mean_prob,event_rate,lift
10,6255,2692,0.4362667935126759,0.4303756994404476,5.295746310683108
9,6254,776,0.11785928404588873,0.12408058842340902,1.5268039511175568
8,6255,483,0.06901774351513255,0.07721822541966426,0.9501654784769469
7,6254,341,0.05427436178414432,0.054525103933482574,0.6709280249111944
6,6255,262,0.03371388027495386,0.04188649080735412,0.5154106736251762
5,6254,163,0.029707869467268964,0.026063319475535657,0.3207075309692806
4,6255,172,0.026519337016574586,0.027498001598721022,0.33836120558599353
3,6254,98,0.02040119567152009,0.01566997121842021,0.1928180247545368
2,6255,45,0.007862938039383104,0.007194244604316547,0.08852473401959134
1,6255,51,0.007436538064688787,0.00815347721822542,0.10032803188887018
