bin,n,mean_predicted,observed_rate,gap
"(-0.001, 0.1]",45898,0.057157021524194516,0.05928362891629265,-0.0021266073920981343
"(0.1, 0.2]",14447,0.13200177318199902,0.12528552640686647,0.0067162467751325505
"(0.2, 0.3]",699,0.2194129815648226,0.19599427753934193,0.023418704025480686
"(0.3, 0.4]",171,0.3875864265685575,0.4093567251461988,-0.02177029857764129
"(0.4, 0.5]",505,0.45235843003624987,0.4297029702970297,0.022655459739220174
"(0.5, 0.6]",444,0.5302237625589785,0.5337837837837838,-0.0035600212248052543
"(0.6, 0.7]",402,0.6488108505585998,0.6517412935323383,-0.0029304429737385673
"(0.7, 0.8]",553,0.7434177133007518,0.7522603978300181,-0.008842684529266287
"(0.8, 0.9]",658,0.8470035240758758,0.8662613981762918,-0.019257874100416017
"(0.9, 1.0]",776,0.9630302352899923,0.9626288659793815,0.0004013693106108551
