class,precision,recall,f1,support
Prepaid,0.0,0.0,0.0,677.0
Current,0.9436134741827927,0.9952017089803632,0.9687212585074818,60855.0
30-DPD,0.0,0.0,0.0,2145.0
60-DPD,0.5636363636363636,0.11005917159763313,0.18415841584158416,845.0
90-DPD,0.6431226765799256,0.729957805907173,0.6837944664031621,711.0
Default,0.5774456521739131,0.6468797564687976,0.6101938262742282,657.0
