bin,n,mean_predicted,observed_rate,gap
"(-0.001, 0.1]",41527,0.07539385426560768,0.08895417439256387,-0.013560320126956182
"(0.1, 0.2]",16651,0.10042873738847884,0.09128580866014054,0.009142928728338301
"(0.2, 0.3]",204,0.2785714285714286,0.06862745098039216,0.20994397759103642
